,abv,brewery,style_name,name,location,description,organic,id,type
47, 6.40%,Bellwoods Brewery, Belgian Saison ,White Picket Fence,Ontario,NaN,NaN,NaN,Micro Brewery
48, 7.70%,Beyond the Pale Brewing, Company Belgian Saison ,Saison Tropicale,Ontario,NaN,NaN,NaN,Micro Brewery
49, 7.00%,Bellwoods Brewery, American IPA ,Milkshark - Guava,Ontario,NaN,NaN,NaN,Micro Brewery
50, 8.40%,Muskoka Brewery, American Imperial IPA ,Muskoka Twice As Mad Tom IPA,Ontario,NaN,NaN,NaN,Micro Brewery
51, 7.30%,Bellwoods Brewery, American IPA ,Cat Lady,Ontario,NaN,NaN,NaN,Micro Brewery
52, 11.80%,Cameron's Brewing, Co.American Barleywine ,Early Bird Breakfast,Ontario,NaN,NaN,NaN,Micro Brewery
53, 8.80%,Sawdust City Brewing, Co.American Imperial IPA ,Twin Pine,Ontario,NaN,NaN,NaN,Micro Brewery
54, 6.70%,Beau's All Natural Brewing, Company American IPA ,Full Time IPA,Ontario,NaN,NaN,NaN,Micro Brewery
55, 6.40%,Bellwoods Brewery, American Pale Ale (A PA) ,Monogamy - Citra,Ontario,NaN,NaN,NaN,Micro Brewery
56, 10.00%,Nickel Brook Brewing, Co.Russian Imperial Stout ,Winey Bastard,Ontario,NaN,NaN,NaN,Micro Brewery
57, 5.00%,Collective Arts Brewing, Belgian Saison ,Collective Project: Dry Hop Sour,Ontario,NaN,NaN,NaN,Micro Brewery
58, 9.00%,Beyond the Pale Brewing, Company American Imperial IPA ,Party Animal,Ontario,NaN,NaN,NaN,Micro Brewery
59, 7.00%,Bellwoods Brewery, American IPA ,Milkshark - Pineapple,Ontario,NaN,NaN,NaN,Micro Brewery
60, 8.20%,Collective Arts Brewing, American Imperial IPA ,Surround Sound (Simcoe & Amarillo),Ontario,NaN,NaN,NaN,Micro Brewery
61, 8.00%,Bellwoods Brewery, American Black Ale ,Gotham,Ontario,NaN,NaN,NaN,Micro Brewery
62, 8.50%,Great Lakes Brewery, American Imperial IPA ,Great Lakes RoboHop,Ontario,NaN,NaN,NaN,Micro Brewery
63, 8.50%,Sawdust City Brewing, Co.Russian Imperial Stout ,"Long, Dark Voyage To Uranus",Ontario,NaN,NaN,NaN,Micro Brewery
64, 7.20%,Bellwoods Brewery, American IPA ,Cat Lady - Double Dry-Hopped,Ontario,NaN,NaN,NaN,Micro Brewery
65, 5.70%,Collective Arts Brewing, American Pale Ale (A PA) ,Rhyme & Reason,Ontario,NaN,NaN,NaN,Micro Brewery
66, 6.50%,Bush Pilot Brewing, Company Belgian Saison ,Pengo Pally,Ontario,NaN,NaN,NaN,Micro Brewery
